Speed: 0.002305, angle1: -0.001020, angle2: 0.332859, v1: -0.101978, v2: 0.732615, M1: 0.074030, M2: 0.208040
Speed: 0.001956, angle1: -0.001675, angle2: 0.338692, v1: -0.065493, v2: 0.583301, M1: 0.157966, M2: -0.015286
Speed: -0.001110, angle1: -0.000652, angle2: 0.334669, v1: 0.102223, v2: -0.402319, M1: 0.237670, M2: -0.229576
Speed: -0.001714, angle1: 0.000983, angle2: 0.328380, v1: 0.163507, v2: -0.628945, M1: 0.299730, M2: -0.016984
Speed: 0.000686, angle1: 0.001887, angle2: 0.329195, v1: 0.090392, v2: 0.081482, M1: 0.354505, M2: 0.242949
Speed: 0.001100, angle1: 0.003057, angle2: 0.330718, v1: 0.117027, v2: 0.152344, M1: 0.415154, M2: 0.081912
Speed: -0.001585, angle1: 0.006027, angle2: 0.322877, v1: 0.297062, v2: -0.784133, M1: 0.471426, M2: -0.179839
Speed: -0.002512, angle1: 0.010054, angle2: 0.310900, v1: 0.402682, v2: -1.197693, M1: 0.507714, M2: -0.037901
Speed: -0.000156, angle1: 0.013567, angle2: 0.305375, v1: 0.351247, v2: -0.552437, M1: 0.531198, M2: 0.247254
Speed: 0.001001, angle1: 0.017166, angle2: 0.302235, v1: 0.359920, v2: -0.314067, M1: 0.557332, M2: 0.147457
Speed: -0.000742, angle1: 0.022433, angle2: 0.290754, v1: 0.526743, v2: -1.148060, M1: 0.579864, M2: -0.132367
Speed: -0.001357, angle1: 0.028886, angle2: 0.274130, v1: 0.645219, v2: -1.662429, M1: 0.582748, M2: -0.054311
Speed: 0.000984, angle1: 0.034883, angle2: 0.263076, v1: 0.599773, v2: -1.105380, M1: 0.570599, M2: 0.223771
Speed: 0.002684, angle1: 0.040719, angle2: 0.255268, v1: 0.583613, v2: -0.780801, M1: 0.559603, M2: 0.168351
Speed: 0.002122, angle1: 0.047888, angle2: 0.240348, v1: 0.716896, v2: -1.491963, M1: 0.546637, M2: -0.101934
Speed: 0.002264, angle1: 0.056076, angle2: 0.220203, v1: 0.818738, v2: -2.014521, M1: 0.516579, M2: -0.066607
Speed: 0.004545, angle1: 0.063719, angle2: 0.204844, v1: 0.764357, v2: -1.535932, M1: 0.472408, M2: 0.182834
Speed: 0.006380, angle1: 0.070953, angle2: 0.192903, v1: 0.723403, v2: -1.194124, M1: 0.429598, M2: 0.148807
Speed: 0.006735, angle1: 0.079129, angle2: 0.174997, v1: 0.817518, v2: -1.790521, M1: 0.386673, M2: -0.097132
Speed: 0.007536, angle1: 0.088015, angle2: 0.152409, v1: 0.888620, v2: -2.258862, M1: 0.330011, M2: -0.082554
Speed: 0.009467, angle1: 0.096203, angle2: 0.134071, v1: 0.818785, v2: -1.833735, M1: 0.261813, M2: 0.131988
Speed: 0.010948, angle1: 0.103781, angle2: 0.118988, v1: 0.757802, v2: -1.508360, M1: 0.196091, M2: 0.103371
Speed: 0.011705, angle1: 0.111947, angle2: 0.098919, v1: 0.816685, v2: -2.006909, M1: 0.131898, M2: -0.114797
Speed: 0.012713, angle1: 0.120500, angle2: 0.074952, v1: 0.855220, v2: -2.396703, M1: 0.057199, M2: -0.106717
Speed: 0.013903, angle1: 0.128186, angle2: 0.054936, v1: 0.768606, v2: -2.001552, M1: -0.025996, M2: 0.077161
Speed: 0.014626, angle1: 0.135091, angle2: 0.037991, v1: 0.690513, v2: -1.694497, M1: -0.105183, M2: 0.048370
Speed: 0.015285, angle1: 0.142276, angle2: 0.016898, v1: 0.718557, v2: -2.109312, M1: -0.181205, M2: -0.144980
Speed: 0.016012, angle1: 0.149545, angle2: -0.007354, v1: 0.726813, v2: -2.425250, M1: -0.264647, M2: -0.137847
Speed: 0.016132, angle1: 0.155766, angle2: -0.027805, v1: 0.622183, v2: -2.045101, M1: -0.353486, M2: 0.024464
Speed: 0.015812, angle1: 0.161011, angle2: -0.045188, v1: 0.524477, v2: -1.738278, M1: -0.436368, M2: -0.001944
Speed: 0.015988, angle1: 0.166231, angle2: -0.065972, v1: 0.522019, v2: -2.078427, M1: -0.513905, M2: -0.176270
Speed: 0.016083, angle1: 0.171247, angle2: -0.089426, v1: 0.501572, v2: -2.345377, M1: -0.595522, M2: -0.170908
Speed: 0.014950, angle1: 0.175001, angle2: -0.109102, v1: 0.375372, v2: -1.967590, M1: -0.679305, M2: -0.018379
Speed: 0.013433, angle1: 0.177518, angle2: -0.125414, v1: 0.251702, v2: -1.631159, M1: -0.754545, M2: -0.037024
Speed: 0.012964, angle1: 0.179702, angle2: -0.144442, v1: 0.218402, v2: -1.902793, M1: -0.821347, M2: -0.202210
Speed: 0.012483, angle1: 0.181473, angle2: -0.165745, v1: 0.177152, v2: -2.130332, M1: -0.888583, M2: -0.206034
Speed: 0.010518, angle1: 0.181909, angle2: -0.183265, v1: 0.043583, v2: -1.752050, M1: -0.955279, M2: -0.066772
Speed: 0.008406, angle1: 0.181032, angle2: -0.197241, v1: -0.087745, v2: -1.397512, M1: -1.012010, M2: -0.083682
Speed: 0.007909, angle1: 0.179710, angle2: -0.213337, v1: -0.132170, v2: -1.609592, M1: -1.058794, M2: -0.241368
Speed: 0.007662, angle1: 0.177971, angle2: -0.231299, v1: -0.173940, v2: -1.796215, M1: -1.104101, M2: -0.253140
Speed: 0.005984, angle1: 0.175044, angle2: -0.245620, v1: -0.292629, v2: -1.432127, M1: -1.147966, M2: -0.128505
Speed: 0.004371, angle1: 0.170977, angle2: -0.256481, v1: -0.406683, v2: -1.086107, M1: -1.182455, M2: -0.139765
Speed: 0.004580, angle1: 0.166567, angle2: -0.268874, v1: -0.441010, v2: -1.239327, M1: -1.207781, M2: -0.275016
Speed: 0.005119, angle1: 0.161862, angle2: -0.282482, v1: -0.470550, v2: -1.360726, M1: -1.231655, M2: -0.281960
Speed: 0.004386, angle1: 0.156241, angle2: -0.292682, v1: -0.562067, v2: -1.020005, M1: -1.254288, M2: -0.174037
Speed: 0.003814, angle1: 0.149763, angle2: -0.299750, v1: -0.647801, v2: -0.706883, M1: -1.269206, M2: -0.180045
Speed: 0.004867, angle1: 0.143066, angle2: -0.307711, v1: -0.669757, v2: -0.796097, M1: -1.276709, M2: -0.284151
Speed: 0.006166, angle1: 0.136172, angle2: -0.316205, v1: -0.689377, v2: -0.849375, M1: -1.282888, M2: -0.283378
Speed: 0.006413, angle1: 0.128597, angle2: -0.321633, v1: -0.757475, v2: -0.542817, M1: -1.287688, M2: -0.194129
Speed: 0.006826, angle1: 0.120390, angle2: -0.324298, v1: -0.820661, v2: -0.266459, M1: -1.285971, M2: -0.194997
Speed: 0.008511, angle1: 0.112032, angle2: -0.327281, v1: -0.835837, v2: -0.298280, M1: -1.277935, M2: -0.269807
Speed: 0.010345, angle1: 0.103530, angle2: -0.330272, v1: -0.850184, v2: -0.299117, M1: -1.268089, M2: -0.263649
Speed: 0.011375, angle1: 0.094520, angle2: -0.330575, v1: -0.901028, v2: -0.030336, M1: -1.256225, M2: -0.191451
Speed: 0.012552, angle1: 0.085043, angle2: -0.328456, v1: -0.947711, v2: 0.211944, M1: -1.238405, M2: -0.187716
Speed: 0.014654, angle1: 0.075460, angle2: -0.326237, v1: -0.958253, v2: 0.221829, M1: -1.214760, M2: -0.239148
Speed: 0.016839, angle1: 0.065781, angle2: -0.323699, v1: -0.967972, v2: 0.253799, M1: -1.188622, M2: -0.229766
Speed: 0.018448, angle1: 0.055736, angle2: -0.318846, v1: -1.004444, v2: 0.485397, M1: -1.159800, M2: -0.171087
Speed: 0.020172, angle1: 0.045366, angle2: -0.311893, v1: -1.037004, v2: 0.695292, M1: -1.125349, M2: -0.163657
Speed: 0.022527, angle1: 0.034950, angle2: -0.304605, v1: -1.041646, v2: 0.728739, M1: -1.085401, M2: -0.197612
Speed: 0.024908, angle1: 0.024500, angle2: -0.296843, v1: -1.044964, v2: 0.776270, M1: -1.042496, M2: -0.185965
Speed: 0.026887, angle1: 0.013823, angle2: -0.287122, v1: -1.067683, v2: 0.972011, M1: -0.996523, M2: -0.137243
Speed: 0.028938, angle1: 0.002960, angle2: -0.275633, v1: -1.086349, v2: 1.148934, M1: -0.945313, M2: -0.127275
Speed: 0.031372, angle1: -0.007867, angle2: -0.263741, v1: -1.082701, v2: 1.189202, M1: -0.889051, M2: -0.148609
Speed: 0.033770, angle1: -0.018640, angle2: -0.251358, v1: -1.077317, v2: 1.238285, M1: -0.829762, M2: -0.135100
Speed: 0.035875, angle1: -0.029500, angle2: -0.237372, v1: -1.086001, v2: 1.398610, M1: -0.767426, M2: -0.093557
Speed: 0.037995, angle1: -0.040403, angle2: -0.221966, v1: -1.090221, v2: 1.540652, M1: -0.700458, M2: -0.082207
Speed: 0.040284, angle1: -0.051162, angle2: -0.206226, v1: -1.075942, v2: 1.574000, M1: -0.629139, M2: -0.094714
Speed: 0.042467, angle1: -0.061759, angle2: -0.190091, v1: -1.059707, v2: 1.613487, M1: -0.555170, M2: -0.079721
Speed: 0.044412, angle1: -0.072296, angle2: -0.172712, v1: -1.053667, v2: 1.737869, M1: -0.478615, M2: -0.043463
Speed: 0.046297, angle1: -0.082722, angle2: -0.154282, v1: -1.042571, v2: 1.843044, M1: -0.398337, M2: -0.031714
Speed: 0.048167, angle1: -0.092877, angle2: -0.135689, v1: -1.015512, v2: 1.859235, M1: -0.314744, M2: -0.038347
Speed: 0.049857, angle1: -0.102740, angle2: -0.116884, v1: -0.986305, v2: 1.880524, M1: -0.229350, M2: -0.022481
Speed: 0.051327, angle1: -0.112383, angle2: -0.097203, v1: -0.964360, v2: 1.968116, M1: -0.142306, M2: 0.009605
Speed: 0.052654, angle1: -0.121750, angle2: -0.076849, v1: -0.936623, v2: 2.035425, M1: -0.052841, M2: 0.020922
Speed: 0.053808, angle1: -0.130694, angle2: -0.056571, v1: -0.894423, v2: 2.027725, M1: 0.038495, M2: 0.017682
Speed: 0.054721, angle1: -0.139190, angle2: -0.036326, v1: -0.849617, v2: 2.024580, M1: 0.130264, M2: 0.033387
Speed: 0.055416, angle1: -0.147286, angle2: -0.015575, v1: -0.809637, v2: 2.075077, M1: 0.222196, M2: 0.061695
Speed: 0.055888, angle1: -0.154916, angle2: 0.005479, v1: -0.762940, v2: 2.105352, M1: 0.314746, M2: 0.071680
Speed: 0.056068, angle1: -0.161938, angle2: 0.026182, v1: -0.702205, v2: 2.070346, M1: 0.407197, M2: 0.069317
Speed: 0.055967, angle1: -0.168315, angle2: 0.046570, v1: -0.637690, v2: 2.038783, M1: 0.498082, M2: 0.083103
Speed: 0.055655, angle1: -0.174070, angle2: 0.067102, v1: -0.575564, v2: 2.053235, M1: 0.586940, M2: 0.107176
Speed: 0.055069, angle1: -0.179123, angle2: 0.087601, v1: -0.505294, v2: 2.049881, M1: 0.673912, M2: 0.114410
Speed: 0.054115, angle1: -0.183321, angle2: 0.107470, v1: -0.419828, v2: 1.986924, M1: 0.758066, M2: 0.109629
Speed: 0.052879, angle1: -0.186607, angle2: 0.126654, v1: -0.328538, v2: 1.918364, M1: 0.837752, M2: 0.118608
Speed: 0.051519, angle1: -0.189005, angle2: 0.145550, v1: -0.239846, v2: 1.889631, M1: 0.912238, M2: 0.140191
Speed: 0.050012, angle1: -0.190483, angle2: 0.164062, v1: -0.147744, v2: 1.851134, M1: 0.981618, M2: 0.150596
Speed: 0.048310, angle1: -0.190954, angle2: 0.181651, v1: -0.047129, v2: 1.758971, M1: 1.045374, M2: 0.150934
Speed: 0.046597, angle1: -0.190421, angle2: 0.198267, v1: 0.053306, v2: 1.661561, M1: 1.102459, M2: 0.164383
Speed: 0.045096, angle1: -0.188973, angle2: 0.214318, v1: 0.144793, v2: 1.605107, M1: 1.152687, M2: 0.190044
Speed: 0.043764, angle1: -0.186654, angle2: 0.229768, v1: 0.231888, v2: 1.545033, M1: 1.196732, M2: 0.204059
Speed: 0.042498, angle1: -0.183450, angle2: 0.244117, v1: 0.320375, v2: 1.434839, M1: 1.234802, M2: 0.205014
Speed: 0.041447, angle1: -0.179418, angle2: 0.257297, v1: 0.403288, v2: 1.317994, M1: 1.266517, M2: 0.214918
Speed: 0.040785, angle1: -0.174680, angle2: 0.269671, v1: 0.473733, v2: 1.237386, M1: 1.292182, M2: 0.234226
Speed: 0.040409, angle1: -0.169305, angle2: 0.281195, v1: 0.537514, v2: 1.152462, M1: 1.312783, M2: 0.242141
Speed: 0.040174, angle1: -0.163297, angle2: 0.291452, v1: 0.600840, v2: 1.025714, M1: 1.328720, M2: 0.238349
Speed: 0.040181, angle1: -0.156706, angle2: 0.300402, v1: 0.659040, v2: 0.895006, M1: 1.339761, M2: 0.241503
Speed: 0.040544, angle1: -0.149630, angle2: 0.308337, v1: 0.707647, v2: 0.793405, M1: 1.346140, M2: 0.251547
