Speed: 0.014928, angle1: -0.001773, angle2: 1.002902, v1: -0.177301, v2: 1.744393, M1: 0.197413, M2: 0.629780
Speed: 0.019169, angle1: -0.003556, angle2: 1.023931, v1: -0.178343, v2: 2.102866, M1: 0.411778, M2: 0.190421
Speed: 0.003150, angle1: -0.002497, angle2: 1.024461, v1: 0.105956, v2: 0.052983, M1: 0.624691, M2: -0.626827
Speed: -0.013428, angle1: 0.001586, angle2: 1.004988, v1: 0.408323, v2: -1.947326, M1: 0.806850, M2: -0.618709
Speed: -0.010167, angle1: 0.006361, angle2: 0.988135, v1: 0.477464, v2: -1.685283, M1: 0.955686, M2: 0.189852
Speed: 0.004524, angle1: 0.010429, angle2: 0.987066, v1: 0.406805, v2: -0.106840, M1: 1.093774, M2: 0.668331
Speed: 0.006733, angle1: 0.015621, angle2: 0.986418, v1: 0.519197, v2: -0.064832, M1: 1.234360, M2: 0.159965
Speed: -0.008293, angle1: 0.024401, angle2: 0.964864, v1: 0.878038, v2: -2.155448, M1: 1.358423, M2: -0.564812
Speed: -0.019504, angle1: 0.036368, angle2: 0.926454, v1: 1.196617, v2: -3.840965, M1: 1.440626, M2: -0.436699
Speed: -0.011022, angle1: 0.048811, angle2: 0.894098, v1: 1.244320, v2: -3.235631, M1: 1.484321, M2: 0.345503
Speed: 0.004153, angle1: 0.060631, angle2: 0.876558, v1: 1.182001, v2: -1.753921, M1: 1.515954, M2: 0.640860
Speed: 0.005409, angle1: 0.074058, angle2: 0.854216, v1: 1.342768, v2: -2.234202, M1: 1.545909, M2: 0.016402
Speed: -0.004337, angle1: 0.090998, angle2: 0.810457, v1: 1.693947, v2: -4.375946, M1: 1.551293, M2: -0.540948
Speed: -0.004106, angle1: 0.109885, angle2: 0.757205, v1: 1.888745, v2: -5.325161, M1: 1.512515, M2: -0.193852
Speed: 0.011275, angle1: 0.127837, angle2: 0.715923, v1: 1.795128, v2: -4.128235, M1: 1.444696, M2: 0.468692
Speed: 0.024244, angle1: 0.145091, angle2: 0.683388, v1: 1.725425, v2: -3.253459, M1: 1.376201, M2: 0.381506
Speed: 0.025260, angle1: 0.164353, angle2: 0.637437, v1: 1.926187, v2: -4.595148, M1: 1.304199, M2: -0.285845
Speed: 0.026478, angle1: 0.185899, angle2: 0.575354, v1: 2.154579, v2: -6.208257, M1: 1.201249, M2: -0.416074
Speed: 0.039127, angle1: 0.206840, angle2: 0.517424, v1: 2.094129, v2: -5.793010, M1: 1.064232, M2: 0.136110
Speed: 0.054031, angle1: 0.225895, angle2: 0.471872, v1: 1.905483, v2: -4.555196, M1: 0.921723, M2: 0.366600
Speed: 0.061299, angle1: 0.245439, angle2: 0.420914, v1: 1.954473, v2: -5.095820, M1: 0.786279, M2: -0.125365
Speed: 0.066581, angle1: 0.266829, angle2: 0.354529, v1: 2.138957, v2: -6.638455, M1: 0.633917, M2: -0.439637
Speed: 0.077493, angle1: 0.287663, angle2: 0.288451, v1: 2.083421, v2: -6.607896, M1: 0.450919, M2: -0.063914
Speed: 0.088755, angle1: 0.306120, angle2: 0.234265, v1: 1.845655, v2: -5.418522, M1: 0.261164, M2: 0.226823
Speed: 0.095894, angle1: 0.324218, angle2: 0.178159, v1: 1.809835, v2: -5.610620, M1: 0.082803, M2: -0.134941
Speed: 0.102845, angle1: 0.343519, angle2: 0.109294, v1: 1.930090, v2: -6.886523, M1: -0.104385, M2: -0.446351
Speed: 0.110575, angle1: 0.361817, angle2: 0.040887, v1: 1.829766, v2: -6.840638, M1: -0.315981, M2: -0.153203
Speed: 0.114827, angle1: 0.377341, angle2: -0.016509, v1: 1.552473, v2: -5.739659, M1: -0.529855, M2: 0.096041
Speed: 0.117974, angle1: 0.391945, angle2: -0.074971, v1: 1.460357, v2: -5.846236, M1: -0.728188, M2: -0.213653
Speed: 0.122849, angle1: 0.406909, angle2: -0.143438, v1: 1.496414, v2: -6.846674, M1: -0.929328, M2: -0.465957
Speed: 0.124041, angle1: 0.420145, angle2: -0.209504, v1: 1.323614, v2: -6.606559, M1: -1.145873, M2: -0.201409
Speed: 0.119591, angle1: 0.430339, angle2: -0.265237, v1: 1.019374, v2: -5.573292, M1: -1.356676, M2: -0.027819
Speed: 0.117572, angle1: 0.439236, angle2: -0.321947, v1: 0.889735, v2: -5.670989, M1: -1.548281, M2: -0.329413
Speed: 0.118649, angle1: 0.447796, angle2: -0.385596, v1: 0.855966, v2: -6.364900, M1: -1.737796, M2: -0.528519
Speed: 0.114294, angle1: 0.454391, angle2: -0.445306, v1: 0.659539, v2: -5.971022, M1: -1.934410, M2: -0.315055
Speed: 0.105461, angle1: 0.458217, angle2: -0.496085, v1: 0.382524, v2: -5.077931, M1: -2.121420, M2: -0.221199
Speed: 0.101584, angle1: 0.460588, angle2: -0.546891, v1: 0.237189, v2: -5.080553, M1: -2.290288, M2: -0.485144
Speed: 0.101703, angle1: 0.462175, angle2: -0.601497, v1: 0.158641, v2: -5.460597, M1: -2.453669, M2: -0.647972
Speed: 0.097667, angle1: 0.461931, angle2: -0.652162, v1: -0.024428, v2: -5.066574, M1: -2.617688, M2: -0.510305
Speed: 0.090719, angle1: 0.459274, angle2: -0.695434, v1: -0.265657, v2: -4.327146, M1: -2.771309, M2: -0.448943
Speed: 0.088212, angle1: 0.454964, angle2: -0.736979, v1: -0.431046, v2: -4.154515, M1: -2.908101, M2: -0.626835
Speed: 0.089518, angle1: 0.449485, angle2: -0.779535, v1: -0.547823, v2: -4.255618, M1: -3.035002, M2: -0.751340
Speed: 0.088705, angle1: 0.442320, angle2: -0.818738, v1: -0.716508, v2: -3.920299, M1: -3.156203, M2: -0.676902
Speed: 0.085661, angle1: 0.433070, angle2: -0.851947, v1: -0.925072, v2: -3.320896, M1: -3.265819, M2: -0.613630
Speed: 0.084745, angle1: 0.422052, angle2: -0.881754, v1: -1.101755, v2: -2.980642, M1: -3.359146, M2: -0.686077
