Speed: 0.002313, angle1: -0.000614, angle2: 0.332821, v1: -0.102289, v2: 0.728770, M1: 0.074030, M2: 0.208040
Speed: 0.002011, angle1: -0.001020, angle2: 0.338574, v1: -0.067717, v2: 0.575320, M1: 0.157997, M2: -0.013363
Speed: -0.000961, angle1: -0.000444, angle2: 0.334580, v1: 0.095977, v2: -0.399390, M1: 0.237923, M2: -0.223663
Speed: -0.001507, angle1: 0.000485, angle2: 0.328443, v1: 0.154782, v2: -0.613753, M1: 0.300608, M2: -0.012535
Speed: 0.000858, angle1: 0.000986, angle2: 0.329241, v1: 0.083587, v2: 0.079831, M1: 0.356256, M2: 0.239802
Speed: 0.001264, angle1: 0.001652, angle2: 0.330526, v1: 0.111031, v2: 0.128480, M1: 0.417585, M2: 0.079590
Speed: -0.001286, angle1: 0.003364, angle2: 0.322637, v1: 0.285222, v2: -0.788883, M1: 0.474457, M2: -0.170229
Speed: -0.002072, angle1: 0.005671, angle2: 0.310926, v1: 0.384548, v2: -1.171057, M1: 0.511928, M2: -0.025916
Speed: 0.000260, angle1: 0.007679, angle2: 0.305469, v1: 0.334775, v2: -0.545721, M1: 0.537226, M2: 0.245921
Speed: 0.001374, angle1: 0.009759, angle2: 0.301996, v1: 0.346524, v2: -0.347305, M1: 0.565007, M2: 0.142765
Speed: -0.000236, angle1: 0.012801, angle2: 0.290375, v1: 0.507072, v2: -1.162164, M1: 0.588879, M2: -0.120439
Speed: -0.000674, angle1: 0.016499, angle2: 0.274080, v1: 0.616340, v2: -1.629413, M1: 0.593730, M2: -0.035331
Speed: 0.001653, angle1: 0.019931, angle2: 0.263185, v1: 0.571972, v2: -1.089508, M1: 0.584469, M2: 0.226243
Speed: 0.003280, angle1: 0.023299, angle2: 0.255018, v1: 0.561270, v2: -0.816766, M1: 0.576253, M2: 0.162888
Speed: 0.002797, angle1: 0.027437, angle2: 0.239897, v1: 0.689801, v2: -1.512104, M1: 0.565522, M2: -0.089416
Speed: 0.003073, angle1: 0.032130, angle2: 0.220099, v1: 0.782171, v2: -1.979769, M1: 0.538173, M2: -0.044019
Speed: 0.005325, angle1: 0.036507, angle2: 0.204948, v1: 0.729417, v2: -1.515047, M1: 0.497659, M2: 0.188046
Speed: 0.007081, angle1: 0.040684, angle2: 0.192660, v1: 0.696139, v2: -1.228893, M1: 0.458343, M2: 0.143577
