Speed: 0.002282, angle1: -0.001002, angle2: 0.332777, v1: -0.100161, v2: 0.724385, M1: 0.080420, M2: 0.206776
Speed: 0.001743, angle1: -0.001370, angle2: 0.334400, v1: -0.036854, v2: 0.498498, M1: 0.326842, M2: -0.011275
Speed: 0.000901, angle1: -0.000801, angle2: 0.334400, v1: 0.056943, v2: 0.170059, M1: 0.492711, M2: -0.014326
Speed: -0.000019, angle1: 0.000889, angle2: 0.332446, v1: 0.169009, v2: -0.195430, M1: 0.632546, M2: -0.003427
Speed: -0.000558, angle1: 0.003666, angle2: 0.327755, v1: 0.277630, v2: -0.469116, M1: 0.746418, M2: 0.038763
Speed: 0.000141, angle1: 0.007079, angle2: 0.323832, v1: 0.341316, v2: -0.392230, M1: 0.834460, M2: 0.147710
Speed: 0.001153, angle1: 0.010978, angle2: 0.321297, v1: 0.389923, v2: -0.253475, M1: 0.808154, M2: 0.164518
Speed: 0.000762, angle1: 0.016218, angle2: 0.314749, v1: 0.524021, v2: -0.654833, M1: 0.917164, M2: 0.041296
Speed: 0.000643, angle1: 0.022841, angle2: 0.304163, v1: 0.662305, v2: -1.058625, M1: 0.981663, M2: 0.053210
Speed: 0.002407, angle1: 0.029987, angle2: 0.295099, v1: 0.714580, v2: -0.906351, M1: 0.975630, M2: 0.205141
Speed: 0.004677, angle1: 0.037295, angle2: 0.288750, v1: 0.730788, v2: -0.634896, M1: 0.869106, M2: 0.230821
Speed: 0.005281, angle1: 0.045832, angle2: 0.277597, v1: 0.853656, v2: -1.115322, M1: 0.911060, M2: 0.047011
Speed: 0.006254, angle1: 0.055468, angle2: 0.262075, v1: 0.963689, v2: -1.552259, M1: 0.842391, M2: 0.049051
Speed: 0.008946, angle1: 0.065114, angle2: 0.248863, v1: 0.964515, v2: -1.321175, M1: 0.740515, M2: 0.212018
Speed: 0.011761, angle1: 0.074440, angle2: 0.238822, v1: 0.932655, v2: -1.004038, M1: 0.610848, M2: 0.223751
Speed: 0.013016, angle1: 0.084463, angle2: 0.224141, v1: 1.002241, v2: -1.468163, M1: 0.514300, M2: 0.009842
Speed: 0.014294, angle1: 0.095120, angle2: 0.204903, v1: 1.065744, v2: -1.923779, M1: 0.389403, M2: -0.013651
Speed: 0.016574, angle1: 0.105275, angle2: 0.188181, v1: 1.015484, v2: -1.672205, M1: 0.238828, M2: 0.142918
Speed: 0.018533, angle1: 0.114647, angle2: 0.174760, v1: 0.937229, v2: -1.342059, M1: 0.087143, M2: 0.142026
Speed: 0.019281, angle1: 0.117900, angle2: 0.157239, v1: 0.956958, v2: -1.752112, M1: -0.052869, M2: -0.072641
Speed: 0.019981, angle1: 0.117900, angle2: 0.134874, v1: 0.995761, v2: -2.236527, M1: -0.077414, M2: -0.106390
Speed: 0.021316, angle1: 0.117900, angle2: 0.114311, v1: 0.945407, v2: -2.056331, M1: -0.043071, M2: 0.063050
Speed: 0.022565, angle1: 0.117900, angle2: 0.097655, v1: 0.865333, v2: -1.665594, M1: -0.018490, M2: 0.120582
Speed: 0.023386, angle1: 0.117900, angle2: 0.078364, v1: 0.884084, v2: -1.929113, M1: -0.004886, M2: -0.045303
Speed: 0.024305, angle1: 0.117900, angle2: 0.054767, v1: 0.933165, v2: -2.359660, M1: 0.000000, M2: -0.092224
Speed: 0.025376, angle1: 0.117900, angle2: 0.032806, v1: 0.895814, v2: -2.196095, M1: -0.004886, M2: 0.055494
Speed: 0.026167, angle1: 0.117900, angle2: 0.014902, v1: 0.819635, v2: -1.790425, M1: -0.017755, M2: 0.116016
Speed: 0.026953, angle1: 0.117900, angle2: -0.004891, v1: 0.829813, v2: -1.979294, M1: -0.043541, M2: -0.039017
Speed: 0.027934, angle1: 0.117900, angle2: -0.028538, v1: 0.869825, v2: -2.364666, M1: -0.077762, M2: -0.097889
Speed: 0.028576, angle1: 0.117900, angle2: -0.050480, v1: 0.824418, v2: -2.194247, M1: -0.121179, M2: 0.034291
Speed: 0.028708, angle1: 0.117900, angle2: -0.068266, v1: 0.737748, v2: -1.778601, M1: -0.160479, M2: 0.091111
Speed: 0.029171, angle1: 0.117900, angle2: -0.087257, v1: 0.725109, v2: -1.899077, M1: -0.235639, M2: -0.057175
Speed: 0.029973, angle1: 0.117900, angle2: -0.109673, v1: 0.744201, v2: -2.241593, M1: -0.288425, M2: -0.125323
Speed: 0.029966, angle1: 0.117900, angle2: -0.130262, v1: 0.676946, v2: -2.058942, M1: -0.385428, M2: -0.008446
Speed: 0.029221, angle1: 0.117900, angle2: -0.146585, v1: 0.564955, v2: -1.632286, M1: -0.472855, M2: 0.040438
Speed: 0.029171, angle1: 0.117900, angle2: -0.163645, v1: 0.522791, v2: -1.705963, M1: -0.547712, M2: -0.100333
