Speed: 0.004001, angle1: -0.001216, angle2: 0.453659, v1: -0.121616, v2: 0.936029, M1: 0.148630, M2: 0.282226
Speed: 0.003232, angle1: -0.001494, angle2: 0.456400, v1: -0.027760, v2: 0.663007, M1: 0.590813, M2: 0.011395
Speed: 0.001427, angle1: -0.000177, angle2: 0.456400, v1: 0.131652, v2: 0.125462, M1: 0.888807, M2: -0.019140
Speed: -0.000591, angle1: 0.003080, angle2: 0.451478, v1: 0.325753, v2: -0.492151, M1: 1.141702, M2: -0.004581
Speed: -0.000297, angle1: 0.007778, angle2: 0.445125, v1: 0.469802, v2: -0.635373, M1: 1.349345, M2: 0.159765
Speed: 0.002125, angle1: 0.013404, angle2: 0.441447, v1: 0.562591, v2: -0.367794, M1: 1.488735, M2: 0.301200
Speed: 0.004010, angle1: 0.020393, angle2: 0.437631, v1: 0.698873, v2: -0.381551, M1: 1.641332, M2: 0.259840
Speed: 0.004502, angle1: 0.028928, angle2: 0.429118, v1: 0.853461, v2: -0.851377, M1: 1.270760, M2: 0.096143
Speed: 0.004632, angle1: 0.039975, angle2: 0.412658, v1: 1.104781, v2: -1.645929, M1: 1.836360, M2: 0.093123
Speed: 0.009608, angle1: 0.051977, angle2: 0.398717, v1: 1.200186, v2: -1.394077, M1: 1.850164, M2: 0.393896
Speed: 0.016976, angle1: 0.063966, angle2: 0.391786, v1: 1.198906, v2: -0.693101, M1: 1.764005, M2: 0.533938
Speed: 0.020524, angle1: 0.077722, angle2: 0.377696, v1: 1.375614, v2: -1.409049, M1: 1.789127, M2: 0.186103
Speed: 0.024017, angle1: 0.093458, angle2: 0.354608, v1: 1.573607, v2: -2.308790, M1: 1.703517, M2: 0.121736
Speed: 0.031606, angle1: 0.109306, angle2: 0.334811, v1: 1.584741, v2: -1.979715, M1: 1.558562, M2: 0.430423
Speed: 0.040552, angle1: 0.124163, angle2: 0.323379, v1: 1.485689, v2: -1.143170, M1: 1.386216, M2: 0.564637
