Speed: 0.002284, angle1: -0.001002, angle2: 0.332768, v1: -0.100243, v2: 0.723457, M1: 0.080420, M2: 0.206784
Speed: 0.001758, angle1: -0.001377, angle2: 0.334400, v1: -0.037448, v2: 0.493888, M1: 0.326860, M2: -0.011020
Speed: 0.000930, angle1: -0.000819, angle2: 0.334400, v1: 0.055836, v2: 0.161779, M1: 0.492853, M2: -0.014038
Speed: 0.000020, angle1: 0.000857, angle2: 0.332315, v1: 0.167535, v2: -0.208502, M1: 0.632921, M2: -0.003357
Speed: -0.000444, angle1: 0.003585, angle2: 0.327639, v1: 0.272837, v2: -0.467600, M1: 0.747102, M2: 0.044231
Speed: 0.000292, angle1: 0.006934, angle2: 0.323745, v1: 0.334931, v2: -0.389424, M1: 0.836151, M2: 0.150133
Speed: 0.001375, angle1: 0.010739, angle2: 0.321319, v1: 0.380462, v2: -0.242613, M1: 0.811740, M2: 0.169799
Speed: 0.000991, angle1: 0.015883, angle2: 0.314722, v1: 0.514382, v2: -0.659678, M1: 0.920879, M2: 0.040960
Speed: 0.000879, angle1: 0.022411, angle2: 0.303935, v1: 0.652801, v2: -1.078642, M1: 0.988721, M2: 0.053417
Speed: 0.002714, angle1: 0.029430, angle2: 0.294762, v1: 0.701916, v2: -0.917359, M1: 0.984668, M2: 0.211977
Speed: 0.005194, angle1: 0.036497, angle2: 0.288926, v1: 0.706676, v2: -0.583603, M1: 0.879688, M2: 0.252649
Speed: 0.005697, angle1: 0.044853, angle2: 0.277699, v1: 0.835660, v2: -1.122698, M1: 0.928436, M2: 0.038773
Speed: 0.006591, angle1: 0.054368, angle2: 0.261635, v1: 0.951452, v2: -1.606408, M1: 0.862931, M2: 0.043204
Speed: 0.009404, angle1: 0.063830, angle2: 0.248279, v1: 0.946221, v2: -1.335619, M1: 0.763600, M2: 0.228573
Speed: 0.012455, angle1: 0.072827, angle2: 0.239084, v1: 0.899718, v2: -0.919447, M1: 0.646116, M2: 0.258657
Speed: 0.013573, angle1: 0.082642, angle2: 0.224338, v1: 0.981432, v2: -1.474558, M1: 0.550081, M2: -0.003513
Speed: 0.014767, angle1: 0.093199, angle2: 0.204357, v1: 1.055772, v2: -1.998123, M1: 0.427033, M2: -0.022775
Speed: 0.017189, angle1: 0.103186, angle2: 0.187477, v1: 0.998650, v2: -1.688005, M1: 0.278522, M2: 0.166208
Speed: 0.019335, angle1: 0.112230, angle2: 0.175043, v1: 0.904419, v2: -1.243382, M1: 0.130526, M2: 0.181492
Speed: 0.020009, angle1: 0.117900, angle2: 0.157415, v1: 0.940991, v2: -1.762840, M1: -0.002111, M2: -0.088876
