Speed: 0.002290, angle1: -0.001005, angle2: 0.332739, v1: -0.100478, v2: 0.720574, M1: 0.080420, M2: 0.206784
Speed: 0.001796, angle1: -0.001395, angle2: 0.334400, v1: -0.039016, v2: 0.490008, M1: 0.326911, M2: -0.009537
Speed: 0.000981, angle1: -0.000857, angle2: 0.334400, v1: 0.053815, v2: 0.151300, M1: 0.493231, M2: -0.014038
Speed: 0.000083, angle1: 0.000795, angle2: 0.332142, v1: 0.165139, v2: -0.225760, M1: 0.633724, M2: -0.003357
Speed: -0.000272, angle1: 0.003451, angle2: 0.327528, v1: 0.265594, v2: -0.461483, M1: 0.748408, M2: 0.052494
Speed: 0.000534, angle1: 0.006697, angle2: 0.323794, v1: 0.324603, v2: -0.373312, M1: 0.838978, M2: 0.155423
Speed: 0.001594, angle1: 0.010425, angle2: 0.321274, v1: 0.372852, v2: -0.252016, M1: 0.827274, M2: 0.168181
Speed: 0.001254, angle1: 0.015467, angle2: 0.314548, v1: 0.504174, v2: -0.672622, M1: 0.918504, M2: 0.043044
Speed: 0.001232, angle1: 0.021852, angle2: 0.303770, v1: 0.638556, v2: -1.077766, M1: 0.997438, M2: 0.061682
Speed: 0.003140, angle1: 0.028695, angle2: 0.294713, v1: 0.684255, v2: -0.905712, M1: 0.996397, M2: 0.219946
Speed: 0.005636, angle1: 0.035582, angle2: 0.288875, v1: 0.688714, v2: -0.583815, M1: 0.893924, M2: 0.255466
Speed: 0.006142, angle1: 0.043765, angle2: 0.277487, v1: 0.818324, v2: -1.138851, M1: 0.947646, M2: 0.041417
Speed: 0.007097, angle1: 0.053079, angle2: 0.261384, v1: 0.931387, v2: -1.610311, M1: 0.885781, M2: 0.053318
Speed: 0.009976, angle1: 0.062310, angle2: 0.248164, v1: 0.923116, v2: -1.321981, M1: 0.790570, M2: 0.240514
Speed: 0.013040, angle1: 0.071091, angle2: 0.239004, v1: 0.878015, v2: -0.915982, M1: 0.680214, M2: 0.264687
Speed: 0.014155, angle1: 0.080715, angle2: 0.224100, v1: 0.962415, v2: -1.490401, M1: 0.585796, M2: 0.000641
Speed: 0.015397, angle1: 0.091078, angle2: 0.204047, v1: 1.036350, v2: -2.005295, M1: 0.466840, M2: -0.011420
Speed: 0.017891, angle1: 0.100853, angle2: 0.187300, v1: 0.977517, v2: -1.674653, M1: 0.322349, M2: 0.181102
Speed: 0.020085, angle1: 0.109707, angle2: 0.174950, v1: 0.885352, v2: -1.235079, M1: 0.178224, M2: 0.190712
Speed: 0.020792, angle1: 0.117900, angle2: 0.157152, v1: 0.927419, v2: -1.779751, M1: 0.050877, M2: -0.083964
Speed: 0.021482, angle1: 0.117900, angle2: 0.134549, v1: 0.960700, v2: -2.260322, M1: -0.077425, M2: -0.100050
Speed: 0.022803, angle1: 0.117900, angle2: 0.114185, v1: 0.900647, v2: -2.036434, M1: -0.043071, M2: 0.077673
Speed: 0.023990, angle1: 0.117900, angle2: 0.097970, v1: 0.814217, v2: -1.621440, M1: -0.019002, M2: 0.129504
Speed: 0.024710, angle1: 0.117900, angle2: 0.078348, v1: 0.842393, v2: -1.962220, M1: -0.004886, M2: -0.062902
Speed: 0.025573, angle1: 0.117900, angle2: 0.054498, v1: 0.889632, v2: -2.385025, M1: 0.000000, M2: -0.089566
